workout_id,start_time,end_time,exercise_index,exercise_title,exercise_notes,set_index,set_weight_lbs,set_reps,workout_type,volume,workout_duration,weight_score
31e67336-e771-47e2-8fb8-ebfe57127559,2025-08-03 09:24:58-04,2025-08-03 10:23:06-04,3,Arnold Press (Dumbbell),,0,25.0,10,Other,250.0,58.13,-0.87
31e67336-e771-47e2-8fb8-ebfe57127559,2025-08-03 09:24:58-04,2025-08-03 10:23:06-04,3,Arnold Press (Dumbbell),,1,25.0,10,Other,250.0,58.13,-0.87
2c98d406-00ca-4322-a318-241ee8ec78fd,2025-05-20 18:45:01-04,2025-05-20 19:46:53-04,1,Arnold Press (Dumbbell),,0,55.01,8,Upper,440.08,61.87,0.87
2c98d406-00ca-4322-a318-241ee8ec78fd,2025-05-20 18:45:01-04,2025-05-20 19:46:53-04,1,Arnold Press (Dumbbell),,1,55.01,8,Upper,440.08,61.87,0.87
3309f7c6-73e2-4f69-b530-42f91fefc609,2025-06-06 16:19:59-04,2025-06-06 17:13:34-04,0,Bench Press (Smith Machine),shoulder flexion,0,185.03,8,Push,1480.24,53.58,-0.71
3309f7c6-73e2-4f69-b530-42f91fefc609,2025-06-06 16:19:59-04,2025-06-06 17:13:34-04,0,Bench Press (Smith Machine),shoulder flexion,1,205.04,5,Push,1025.2,53.58,0.71
0c3e9787-cd73-4422-8a44-8f37bbc5d2d1,2025-07-26 07:37:52-04,2025-07-26 08:20:15-04,4,Bicep Curl (Cable),,0,60.01,8,Pull,480.08,42.38,1.01
0c3e9787-cd73-4422-8a44-8f37bbc5d2d1,2025-07-26 07:37:52-04,2025-07-26 08:20:15-04,4,Bicep Curl (Cable),,1,60.01,6,Pull,360.06,42.38,1.01
92397aa6-9f3a-4a22-be95-37bd6e7093bd,2025-07-08 18:47:00-04,2025-07-08 19:27:23-04,4,Bicep Curl (Cable),,0,55.01,9,Pull,495.09,40.38,-0.25
92397aa6-9f3a-4a22-be95-37bd6e7093bd,2025-07-08 18:47:00-04,2025-07-08 19:27:23-04,4,Bicep Curl (Cable),,1,55.01,7,Pull,385.07,40.38,-0.25
fb3ab7c3-0283-43b2-959c-726d7384f3c3,2025-06-30 14:51:57-04,2025-06-30 15:32:13-04,5,Bicep Curl (Cable),,0,55.01,8,Pull,440.08,40.27,-0.25
fb3ab7c3-0283-43b2-959c-726d7384f3c3,2025-06-30 14:51:57-04,2025-06-30 15:32:13-04,5,Bicep Curl (Cable),,1,55.01,6,Pull,330.06,40.27,-0.25
b7b45d3d-5b19-4771-87e7-bdaffc85e4ca,2025-06-13 10:10:53-04,2025-06-13 10:54:20-04,5,Bicep Curl (Cable),,0,50.01,8,Pull,400.08,43.45,-1.52
b7b45d3d-5b19-4771-87e7-bdaffc85e4ca,2025-06-13 10:10:53-04,2025-06-13 10:54:20-04,5,Bicep Curl (Cable),,1,50.01,8,Pull,400.08,43.45,-1.52
b7e630b4-777b-4119-9a27-cdf7c3e95d26,2025-06-08 14:33:43-04,2025-06-08 15:19:04-04,5,Bicep Curl (Cable),PF cable by stairs,0,60.01,8,Pull,480.08,45.35,1.01
b7e630b4-777b-4119-9a27-cdf7c3e95d26,2025-06-08 14:33:43-04,2025-06-08 15:19:04-04,5,Bicep Curl (Cable),PF cable by stairs,1,60.01,8,Pull,480.08,45.35,1.01
c9d9c0ae-7394-46d5-be0e-31fdda42c3f5,2025-09-10 16:12:01-04,2025-09-10 16:53:36-04,5,Bicep Curl (Dumbbell),standing/alternating,0,45.01,9,Upper,405.09,41.58,-0.5
c9d9c0ae-7394-46d5-be0e-31fdda42c3f5,2025-09-10 16:12:01-04,2025-09-10 16:53:36-04,5,Bicep Curl (Dumbbell),standing/alternating,1,45.01,8,Upper,360.08,41.58,-0.5
6643ba07-45e2-41d6-b1ba-15d0d88fb21e,2025-09-04 18:54:08-04,2025-09-04 19:41:43-04,5,Bicep Curl (Dumbbell),,0,45.01,8,Upper,360.08,47.58,-0.5
6643ba07-45e2-41d6-b1ba-15d0d88fb21e,2025-09-04 18:54:08-04,2025-09-04 19:41:43-04,5,Bicep Curl (Dumbbell),,1,45.01,6,Upper,270.06,47.58,-0.5
